"module","screen_id","screen_name_zh","screen_name_en","current_status","current_file_or_route","purpose","primary_user_action","required_inputs","expected_outputs","data_state","empty_state_needed","warning_or_gate_needed","result_preview_needed","icon_family_used","mockup_priority","implementation_priority","risk_level","notes"
"Bioinformatics","BIO-001","项目首页","Project Home","partial runtime UI","app/bioinformatics/project_home.py; app/bioinformatics/workspace.py","创建或打开生信项目并查看项目健康状态","创建项目或打开已有项目","项目名称; 保存路径; 项目目录","项目 workspace; manifest; 项目状态摘要","project-local manifest","yes","yes","no","bio_pages; empty_states; status","P0","P0","medium","需要更完整的桌面工作台布局和项目摘要 mockup"
"Bioinformatics","BIO-002","数据来源选择","Data Source Selection","target shell plus legacy pages","app/bioinformatics/workspace.py; app/bioinformatics/workflow_pages.py","选择 GEO TCGA GTEx local import 等数据入口","选择数据来源并进入对应准备流程","项目上下文; source type","数据来源计划; query draft; import handoff","planned/testing source state","yes","yes","no","bio_pages; settings_resources; status","P0","P0","high","必须区分本地导入与在线检索; TCGA+GTEx 不得默认自动合并"
"Bioinformatics","BIO-003","GEO 页面","GEO Search Import Download","legacy functional pages","app/bioinformatics/pages/geo_import_page.py; app/bioinformatics/pages/geo_download_page.py; app/bioinformatics/workflow_pages.py","构建 GEO 查询草稿; 导入 accession; 下载或检查数据","生成草稿; 确认 accession; 触发在线检索或下载","疾病/组织/处理关键词; accession; max results","GEO query plan; search/download status; handoff payload","testing; online optional","yes","yes","no","bio_pages; status; empty_states","P0","P1","high","需要把复杂在线/本地状态做成清晰步骤卡和表格"
"Bioinformatics","BIO-004","TCGA 页面","TCGA Data Source","planned/partial service state","app/bioinformatics/search_center/tcga_gdc_adapter.py; app/bioinformatics/tcga/*; app/bioinformatics/workflow_pages.py","选择 TCGA 项目和样本输入边界","选择 cancer project; 准备表达和临床输入","TCGA project id; expression files; clinical files","TCGA import/preparation package","partial backend; UI not fully designed","yes","yes","no","bio_pages; status; settings_resources","P0","P1","high","需要明确 TCGA 作为独立数据源; 不默认与 GTEx 合并"
"Bioinformatics","BIO-005","GTEx 页面","GTEx Data Source","planned/partial service state","app/bioinformatics/search_center/gtex_adapter.py; app/bioinformatics/workflow_pages.py","选择 GTEx tissue/reference 数据边界","选择组织并生成候选数据计划","GTEx tissue; disease context","GTEx query/source plan","planned/testing","yes","yes","no","bio_pages; status","P1","P2","high","需要警告 GTEx 仅为参考来源; 不自动进入正式差异分析"
"Bioinformatics","BIO-006","本地数据导入","Local Expression Import","legacy functional page","app/bioinformatics/pages/local_expression_import_page.py; app/bioinformatics/services/local_expression_import_service.py","导入本地表达矩阵/metadata 并生成标准化输入","选择文件; 校验; 导入","expression matrix; sample metadata; platform info","standardized local import payload","testing; local file state","yes","yes","yes","bio_pages; empty_states; status","P0","P0","high","需要 file import card; 表格预览; 错误/缺字段提示"
"Bioinformatics","BIO-007","数据检查与准备","Data Check and Preparation","target shell plus legacy functional pages","app/bioinformatics/workspace.py; app/bioinformatics/pages/geo_asset_detection_page.py; app/bioinformatics/pages/geo_cleaning_page.py","识别文件类型; 进行 readiness/preflight 检查","检查数据; 生成清洗/准备计划","imported data package; file records","readiness state; cleaning plan; standardized package","testing/preflight","yes","yes","yes","bio_pages; empty_states; status","P0","P0","high","需要文件级表格; readiness chips; blocker rows"
"Bioinformatics","BIO-008","样本分组与分析设计","Group and Design","target shell plus legacy page","app/bioinformatics/pages/sample_grouping_page.py; app/bioinformatics/group_comparison_design.py; app/bioinformatics/workspace.py","定义分组/比较和设计矩阵","选择 phenotype/group; review design","prepared sample table; comparison config","grouping plan; comparison design summary","testing","yes","yes","yes","bio_pages; status","P0","P0","high","需要 parameter review card 和样本表可视化"
"Bioinformatics","BIO-009","DEG 参数确认与结果","DEG Parameters and Result","preflight/testing only","app/bioinformatics/pages/differential_expression_page.py; app/bioinformatics/deg_executor_preflight.py; app/bioinformatics/services/differential_expression_service.py","确认 DEG 参数和执行边界; 展示测试/导入结果状态","运行 preflight; review task plan","grouping payload; comparison config; expression package","preflight report; imported/testing result summary","preflight/testing","yes","yes","yes","bio_pages; result_report_export; status","P0","P1","high","不得生成假 DEG 表; 需 gating copy 和参数卡"
"Bioinformatics","BIO-010","ORA/GSEA 参数与结果","ORA and GSEA Parameters and Result","preflight/testing only","app/bioinformatics/pages/enrichment_page.py; app/bioinformatics/services/enrichment_service.py; app/bioinformatics/services/enrichment_runner.py","配置富集分析边界并展示测试级结果","选择 gene list/database; run preflight","DEG/imported gene list; GO/KEGG resources","ORA/GSEA preflight or testing summary","preflight/testing; resource dependent","yes","yes","yes","bio_pages; settings_resources; result_report_export; status","P1","P2","high","需要资源缺失/数据库配置状态; 不声明正式富集图"
"Bioinformatics","BIO-011","KM/log-rank 页面","KM and Log-rank","preflight/testing only","app/bioinformatics/pages/survival_page.py; app/bioinformatics/services/survival_service.py","配置生存分析输入和测试级展示","选择 time/event/group; run preflight","clinical survival fields; grouping variable","survival preflight; testing summary","preflight/testing","yes","yes","yes","bio_pages; status","P1","P2","high","需要字段映射审核; 不生成假 KM 曲线"
"Bioinformatics","BIO-012","Cox univariate 页面","Cox Univariate","planned/technical service context","app/bioinformatics/tcga/analysis_inputs.py; app/bioinformatics/workflow_pages.py","审核 Cox 单因素输入和运行边界","选择 clinical variables; review eligibility","clinical table; expression/group covariates","Cox input package or blocker list","planned/preflight","yes","yes","yes","bio_pages; status","P1","P3","high","需要 clinical variable audit 先完成"
"Bioinformatics","BIO-013","临床变量审计","Clinical Variable Audit","planned/partial service context","app/bioinformatics/tcga/clinical_importer.py; app/bioinformatics/workflow_pages.py","检查临床字段可用性和映射风险","审核字段; 标记可用/缺失/冲突","clinical metadata; field dictionary","field audit table; mapping warnings","partial/preflight","yes","yes","yes","bio_pages; status","P0","P1","high","Cox/KM 前置页面; 需要表格和 warning rows"
"Bioinformatics","BIO-014","结果浏览器","Result Browser","shell/testing summary","app/bioinformatics/results/project_results.py; app/shared/result_report_export_shell.py","浏览已有测试摘要/导入结果; 不伪造正式结果","选择结果类型; 查看摘要","project result records","testing/imported result preview","empty/testing/imported","yes","yes","yes","result_report_export; empty_states; status","P2","P2","high","需要区分 imported_external_result 和 formal_computed_result future"
"Bioinformatics","BIO-015","报告查看","Report Viewer","draft shell","app/bioinformatics/pages/bio_report_page.py; app/bioinformatics/reports/project_report_builder.py; app/shared/result_report_export_shell.py","查看报告草稿和限制说明","生成/查看草稿摘要","project records; task records","Markdown report draft","draft/testing summary","yes","yes","yes","result_report_export; status","P2","P2","medium","报告模板多语言化后再高保真"
"Bioinformatics","BIO-016","导出 gate 页面","Export Gate","gated shell","app/shared/result_report_export_shell.py; app/bioinformatics/workspace.py","展示导出格式和 gate; 阻止无结果导出","查看导出状态; disabled buttons","result/report state","disabled export state; future export options","gated/disabled","yes","yes","yes","result_report_export; status","P2","P2","high","不得启用 report-ready package"
"Meta Analysis","META-001","项目首页","Project Home","shell-only","app/meta_analysis/workspace.py","Meta 项目状态总览和流程入口","创建/打开 Meta project shell","project metadata","project shell summary","shell-only","yes","yes","no","meta_pages; empty_states; status","P0","P1","medium","需要项目卡/流程状态设计"
"Meta Analysis","META-002","检索式构建","Search Strategy Builder","testing shell","app/meta_analysis/workspace.py; app/shared/query_intelligence/query_intelligence_service.py","构建 PubMed/英文检索策略草稿","编辑 PICO/terms; 生成 search strategy","research question; PICO/PECO terms","search strategy draft","testing; English-only processing","yes","yes","yes","meta_pages; status","P0","P0","high","需要明确 AI suggestion 只是辅助"
"Meta Analysis","META-003","文献导入/文献管理","Import and Reference Management","testing shell","app/meta_analysis/workspace.py","导入文献并管理去重状态","导入 citation; review dedup","RIS/CSV/manual citations","reference table; dedup summary","testing","yes","yes","yes","meta_pages; status","P0","P1","high","不能恢复中文数据库直接检索"
"Meta Analysis","META-004","文献筛选","Screening","testing shell","app/meta_analysis/workspace.py","标题摘要/全文筛选和排除理由管理","标记 include/exclude/maybe","reference list; screening rules","screening decisions","testing/manual review","yes","yes","yes","meta_pages; status","P0","P1","high","AI suggestion 必须保留辅助边界"
"Meta Analysis","META-005","数据提取","Extraction","testing shell","app/meta_analysis/workspace.py","按 Meta 类型进行数据提取; 不做通用拖拽组件库","确认提取表; 填写字段","included full texts; meta type schema","extraction records","testing/manual review","yes","yes","yes","meta_pages; status","P0","P1","high","tab 为全文管理/提取表设计/提取完成核查/历史记录"
"Meta Analysis","META-006","Risk of bias 页面","Risk of Bias","planned shell","app/meta_analysis/workspace.py","选择质量评价工具并记录评分","选择工具; 填写评价项","included studies; meta type","ROB table; blocker if missing","planned/shell","yes","yes","yes","meta_pages; status","P1","P3","high","需要按研究类型选择评价结构"
"Meta Analysis","META-007","Pairwise meta 输入","Pairwise Meta Input","planned/testing boundary","app/meta_analysis/workspace.py","配置 pairwise effect size 输入和分析前检查","输入 effect size; review model","extraction records; effect type","analysis input package; preflight","planned/testing","yes","yes","yes","meta_pages; status","P1","P2","high","不得启用 Network Meta"
"Meta Analysis","META-008","结果审查","Result Review","shell-only","app/meta_analysis/workspace.py; app/shared/result_report_export_shell.py","审查 testing result boundary 和报告草稿状态","查看 result summary; acknowledge limits","analysis outputs or empty state","testing result review shell","empty/testing","yes","yes","yes","result_report_export; meta_pages; status","P2","P2","high","不得声明生产级系统综述"
"Meta Analysis","META-009","Forest plot/table preview","Forest Plot and Table Preview","future/shell-only","app/meta_analysis/workspace.py","展示未来 forest/table 预览框架","查看 placeholder/gated preview","analysis output future","disabled preview","future/shell","yes","yes","yes","meta_pages; empty_states; status","P2","P4","high","不能显示假 forest plot 或正式统计"
"Meta Analysis","META-010","Report-ready gate","Report-ready Gate","shell-only","app/shared/result_report_export_shell.py; app/meta_analysis/workspace.py","控制 report-ready 转换边界","查看 gate; acknowledge blockers","result review state","draft/report-ready future gate","gated/draft","yes","yes","yes","result_report_export; status","P2","P3","high","不声明投稿级输出"
"Meta Analysis","META-011","导出页面","Export","gated shell","app/shared/result_report_export_shell.py; app/meta_analysis/workspace.py","展示导出格式和 disabled/gated 状态","查看 disabled export options","report/result state","disabled export buttons","gated/disabled","yes","yes","yes","result_report_export; status","P2","P3","high","不得启用 export action icons"
"LabTools","LAB-001","通用试剂计算器","General Reagent Calculator","shell entry","app/shell/main_window.py","集中常用实验计算入口","选择计算类型","calculator mode; numeric inputs","calculation preview/future output","shell/testing","yes","yes","yes","labtools; status","P0","P1","medium","不要混入 WB/PCR/ELISA/MTT 专用实验"
"LabTools","LAB-002","动态公式计算器","Dynamic Formula Calculator","planned","app/shell/main_window.py","用户配置公式并计算","输入公式与变量","formula; variables","computed value/future","planned","yes","yes","yes","labtools; status","P1","P3","medium","需要参数安全和公式说明"
"LabTools","LAB-003","我的试剂模板","My Reagent Templates","planned","app/shell/main_window.py","管理个人试剂模板","创建/选择模板","template fields","template record","planned","yes","yes","no","labtools; empty_states; status","P1","P2","medium","不做云端协作"
"LabTools","LAB-004","试剂配制","Reagent Preparation","shell entry","app/shell/main_window.py","记录和计算试剂配制流程","选择模板; 输入目标浓度/体积","template; stock concentration; target volume","preparation plan/record","shell/testing","yes","yes","yes","labtools; status","P0","P1","medium","需要 record-template mockup"
"LabTools","LAB-005","Western Blot loading calculator","Western Blot Loading Calculator","planned/shell category","app/shell/main_window.py","计算 WB loading 方案","输入蛋白浓度/目标量","sample concentration; target loading","loading mix plan","planned","yes","yes","yes","labtools; status","P1","P2","medium","属于蛋白实验模块; 不放入通用计算器"
"LabTools","LAB-006","SDS-PAGE 配胶","SDS-PAGE Gel Preparation","planned/shell category","app/shell/main_window.py","计算 SDS-PAGE 配胶方案","选择胶浓度/体积","gel percentage; volume","gel recipe","planned","yes","yes","yes","labtools; status","P1","P2","medium","属于蛋白实验模块"
"LabTools","LAB-007","BCA / OD 记录","BCA and OD Record","planned/shell category","app/shell/main_window.py","记录 BCA/OD 标准曲线和读数","录入读数; review curve","absorbance values; standards","record table; curve preview future","planned","yes","yes","yes","labtools; status","P1","P2","medium","BCA 不放入通用计算器或 ELISA"
"LabTools","LAB-008","PCR / qPCR 工具","PCR and qPCR Tools","planned/shell category","app/shell/main_window.py","PCR/qPCR 配方和记录模板","输入 primer/reaction settings","primer; reaction volume; cycle info","protocol/record template","planned","yes","yes","yes","labtools; status","P1","P3","medium","属于核酸实验模块"
"LabTools","LAB-009","ELISA / 吸光度工具","ELISA and Absorbance Tools","planned/shell category","app/shell/main_window.py","ELISA/吸光度实验记录与计算边界","录入 plate/readings","plate layout; absorbance values","record and analysis placeholder","planned","yes","yes","yes","labtools; status","P1","P3","medium","MTT/CCK-8/AlamarBlue 不应放错到 ELISA"
"LabTools","LAB-010","细胞实验记录模板","Cell Experiment Record Templates","planned/shell category","app/shell/main_window.py","细胞实验记录入口","选择记录类型","cell line; passage/date","record template","planned","yes","yes","no","labtools; status","P0","P2","medium","后续 UI-C1c 重点"
"LabTools","LAB-011","传代/复苏/冻存/接种/给药/转染记录","Cell Culture Operation Records","planned/shell category","app/shell/main_window.py","记录细胞操作流程","填写操作记录","cell line; operator; reagent; batch","operation log","planned","yes","yes","no","labtools; status","P0","P2","medium","需要多种 record template"
"LabTools","LAB-012","细胞图像分析入口","Cell Image Analysis Entry","settings-linked shell","app/shell/main_window.py","提示图像分析引擎配置位置","进入 Settings external capability","image engine setting status","Settings link/notice","settings-gated","yes","yes","no","settings_resources; labtools; status","P3","P4","high","图像分析不作为 LabTools 一级入口"
"LabTools","LAB-013","ImageJ/Fiji 调用提示页","ImageJ/Fiji Callout","settings-linked shell","app/shell/main_window.py","说明 ImageJ/Fiji 为外部能力配置","跳转 Settings; 查看状态","ImageJ/Fiji resource status","configuration prompt","detect-first/settings","yes","yes","no","settings_resources; status","P3","P4","high","不得暗示已安装或可自动运行"
"Settings","SET-001","外部能力","External Capabilities","runtime shell","app/shell/main_window.py","集中显示外部工具能力和检测入口","点击 detect; 查看状态","local environment; tool paths","capability status cards","detect-first","yes","yes","no","settings_resources; status","P3","P2","high","安装/更新保持禁用或 user-triggered"
"Settings","SET-002","分析资源","Analysis Resources","runtime shell","app/shell/main_window.py","显示 GO/KEGG/R/Python 包等资源状态","查看状态; detect","resource paths; package availability","resource status rows","detect-first","yes","yes","no","settings_resources; status","P3","P2","high","不得自动安装"
"Settings","SET-003","模型与引擎","Models and Engines","runtime shell","app/shell/main_window.py","显示本地模型/Cloud AI/engine 配置边界","查看状态; disabled configure","model config; engine status","model/engine status cards","detect-first/planned","yes","yes","no","settings_resources; status","P3","P3","high","不新增云配置或模型调用"
"Settings","SET-004","本地模型状态","Local Model Status","runtime shell","app/shell/main_window.py","展示本地模型检测和限制","detect local model","model path/status","local model status","detect-first","yes","yes","no","settings_resources; status","P3","P3","high","不得暗示可直接推理"
"Settings","SET-005","ImageJ/Fiji 配置","ImageJ/Fiji Configuration","runtime shell","app/shell/main_window.py","配置/检测图像分析外部引擎","detect ImageJ/Fiji","path or local install state","external capability status","detect-first","yes","yes","no","settings_resources; status","P3","P3","high","仍属于 Settings; 不进入 LabTools 一级入口"
"Settings","SET-006","PDF/OCR 资源","PDF/OCR Resources","runtime shell","app/shell/main_window.py","显示 PDF/OCR 能力边界","detect resource","OCR engine/resource status","resource status","detect-first/planned","yes","yes","no","settings_resources; status","P3","P4","high","不启用中文 PDF 抽取"
"Settings","SET-007","开发者诊断","Developer Diagnostics","runtime shell","app/shell/main_window.py","折叠显示技术状态和资源 inventory","展开诊断","runtime config; resource inventory","diagnostic table/status","developer-only","yes","yes","no","settings_resources; status","P3","P3","medium","普通用户主流程不应强曝光"
"Shared UI","SHR-001","空状态","Empty States","active shared primitive","app/shared/ui_components/primitives.py; assets/images/empty_states/","展示无项目/无结果/缺资源等状态","查看提示; 点击保留 action","empty state semantic key","empty state card","empty/missing/blocked","yes","yes","no","empty_states; status","P2","P2","medium","需要统一尺寸和插图留白"
"Shared UI","SHR-002","结果表壳层","Result Table Shell","shared shell","app/shared/result_report_export_shell.py","展示测试级表格区域 marker","查看 table placeholder","result state","disabled/testing table area","testing/empty","yes","yes","yes","result_report_export; status","P2","P2","high","不得显示假结果表"
"Shared UI","SHR-003","报告壳层","Report Shell","shared shell","app/shared/result_report_export_shell.py","展示报告草稿边界","查看 draft marker","report state","draft report panel","draft/testing","yes","yes","yes","result_report_export; status","P2","P2","high","不声明 report-ready"
"Shared UI","SHR-004","导出 gate 壳层","Export Gate Shell","shared shell","app/shared/result_report_export_shell.py","控制导出按钮 disabled/gated 状态","查看 disabled export options","exportGate; reportStatusKey; resultSemanticKey","disabled buttons","gated","yes","yes","yes","result_report_export; status","P2","P2","high","不能启用导出 action"
"Shared UI","SHR-005","warning/blocker/preflight rows","Warning Blocker Preflight Rows","partially shared pattern","app/shared/ui_components/primitives.py; app/bioinformatics/workspace.py; app/shell/main_window.py","统一展示 blocker/preflight/warning 行","阅读并处理 blocker","status/warning messages","warning row list","preflight/blocked","yes","yes","no","status; empty_states","P0","P1","high","需要跨模块统一样式"
"Shared UI","SHR-006","状态 chip / 状态行","Status Chip and Status Row","active shared primitive","app/shared/ui_components/primitives.py; app/ui_style_tokens.py","展示状态文本和辅助 icon","查看状态说明","status key","status chip/row","all status states","no","yes","no","status","P0","P0","high","文字 label 与 semanticKey 是权威来源"
"Shared UI","SHR-007","确认弹窗","Confirmation Dialog","not standardized","app/shell/main_window.py; module-specific pages","确认危险/不可逆/阶段转换操作","confirm/cancel","action context","confirmed/cancelled state","future/planned","no","yes","no","status","P1","P3","medium","需要统一 dialog pattern"
"Shared UI","SHR-008","参数复核卡","Parameter Review Card","not standardized","app/bioinformatics/pages/*; app/meta_analysis/workspace.py","提交分析前复核参数和 gate","review parameters","analysis params; resource status","parameter summary","preflight/testing","yes","yes","yes","status","P0","P1","high","Bio/Meta/LabTools 都需要"
"Shared UI","SHR-009","本地文件导入卡","Local File Import Card","not standardized","app/bioinformatics/pages/local_expression_import_page.py; app/bioinformatics/project_home.py","选择本地文件并显示校验结果","browse file; validate","file path; expected schema","file validation state","local/import","yes","yes","yes","empty_states; status","P0","P1","high","需要拖放/选择文件/错误摘要设计"
"Shared UI","SHR-010","快速入口卡","Quick Access Card","runtime shell pattern","app/shell/main_window.py; app/shell/module_selection.py","最近使用/指南/FAQ/反馈入口","点击辅助入口","none/project state","navigation or placeholder","shell","yes","yes","no","modules; status","P3","P3","low","统一在 Dashboard/Bio/LabTools 等页面"
