"component_name","priority","category","used_by_pages","current_runtime_problem","target_mockup_behavior","implementation_complexity","must_not_change_semantics","first_stage_to_implement"
"AppSidebar","P0","Core","Dashboard; LabTools; Bioinformatics; Meta Analysis; Settings","Runtime sidebar exists but module labels, icon rhythm, active state, and auxiliary entries are not governed by a shared shell contract.","Stable product navigation with compact module entries, clear active state, bottom auxiliary entries, and no project-center/report-center overexposure.","M","Keep module routing, Developer Preview meaning, and no account/subscription enablement.","UI-D1b"
"PageShell","P0","Core","All module pages","Pages are assembled with ad hoc QVBox/QHBox layouts, causing inconsistent margins, scroll behavior, and dense-page clipping.","One page container with consistent content margins, scroll policy, body regions, and maximum readable width rules for workbench pages.","M","Do not change page routing, backend execution, file writes, or packaging behavior.","UI-D1b"
"PageHeader","P0","Core","Dashboard; LabTools; Bioinformatics; Meta Analysis; Settings","Headers vary by page; status chips and subtitles compete with page content or disappear on dense screens.","Compact title, subtitle, status row, and optional page actions that match mockup hierarchy without hero-scale typography.","S","Do not introduce production-ready wording for testing, planned, shell-only, preflight, or draft states.","UI-D1b"
"StatusChip","P0","Core","All gated modules; Settings resources; result/export gates","Existing chips are partially shared, but repeated local labels and chip sizing still create inconsistent status prominence.","Token-backed semantic chips with optional status icon, tooltip, fixed height, and consistent colors across modules.","S","Status semantic key remains authoritative; color/icon must not imply enabled formal capability.","UI-D1b"
"ActionButton","P0","Core","Dashboard cards; module pages; forms; export gates","Buttons mix native and custom styles; enabled-looking controls can appear under disabled report/export gates.","Role-based primary, secondary, ghost, danger, and compact actions with clear disabled/adapter-needed states.","S","Do not enable executor, report/export, installer, cloud, or file-write behavior through visual refactor.","UI-D1b"
"WorkbenchCard","P0","Core","Dashboard cards; LabTools entries; Bioinformatics cards; Meta cards; Settings panels","Cards use repeated inline borders and padding, making dashboard, settings, and workflow panels visually unrelated.","Reusable non-nested card primitive for repeated items and framed tools with 8px-or-less radius and stable padding.","S","No nested cards as page sections; repeated items only unless the page truly needs a framed tool.","UI-D1b"
"SectionTitle","P1","Core","Forms; tables; right panels; Settings groups","Section labels are inconsistent in weight, size, and spacing, especially inside dense LabTools and Bioinformatics pages.","Compact section headings with optional secondary caption and predictable spacing before tables/forms.","S","Do not add explanatory design text into the runtime UI.","UI-D1b"
"IconLabel","P1","Core","Sidebar; module cards; status rows; settings resource rows","Icons are connected through app_identity but their label alignment and fallback handling are page-specific.","Small icon plus label row with fallback-safe sizing and semantic source metadata.","S","Icon presence must not imply a resource is installed or a capability is enabled.","UI-D1b"
"EmptyState","P0","Core","Dashboard recent projects; Bioinformatics no-result; Meta gates; Settings missing resources","Empty states exist but are not consistently sized, illustrated, or separated from warning/gate notices.","Shared illustrated empty state with title, concise body, optional disabled action, and semantic empty-state key.","S","No fake results, fake reports, fake ready packages, or fake project records.","UI-D1b"
"InfoBanner","P0","Core","Developer Preview notices; gate notices; warning/review notices","Notices vary between labels, raw text blocks, and local warning cards; visual severity is inconsistent.","Token-backed info/warning/blocker/success banner with compact text, icon slot, and optional action area.","S","Warning and gate semantics must remain visible; no formal capability may be softened into success.","UI-D1b"
"ModuleEntryCard","P0","Common","Dashboard; LabTools home; experiment module boundary page","Dashboard and module entry cards have acceptable IA but inconsistent icon scale, status chip placement, and secondary copy density.","Stable module entry card with icon, title, brief description, status chip, and a single clear entry action.","M","Do not expose hidden first-level modules such as external engines, report center, account, or subscription.","UI-D1c"
"WorkflowStepper","P0","Common","Bioinformatics 7-step workflow; Meta 10-step workflow; LabTools reagent/WB flows","Workflow navigation is repeated as lists/tabs and can compress or overlap content on Meta and dense pages.","Module-local stepper with current, blocked, planned, testing, and completed-draft visual states plus safe disabled routing.","M","No step state may imply formal analysis completion or report readiness.","UI-D1c"
"SecondaryNavTabs","P0","Common","Settings groups; LabTools calculator/reagent subpages; Bioinformatics auxiliary pages","Internal navigation is inconsistent: tabs, cards, buttons, and stacked lists are mixed per page.","Compact segmented/tabs control for local page grouping with stable widths and long-label fallback.","M","Do not create new runtime routes or activate hidden modules.","UI-D1c"
"DataTable","P0","Common","Bioinformatics readiness/gate matrices; Meta reference/extraction tables; Settings resources; history lists","Tables are scroll-heavy, native-looking, and often clipped; headers compress scientific labels.","Read-only table primitive with min column widths, sticky-like header behavior where possible, empty state, and horizontal overflow support.","L","Tables must remain read-only unless an existing adapter explicitly allows editing.","UI-D1c"
"FormFieldRow","P0","Common","LabTools calculators; reagent forms; Meta question/search forms; Settings forms","Forms use native field spacing and inconsistent label/help/validation placement.","Label, input, unit/help, validation, and disabled state row that handles scientific units and long labels.","M","Do not add persistence or validation side effects beyond existing adapters.","UI-D1c"
"KeyValuePanel","P1","Common","Dashboard project summary; Bioinformatics project status; Meta protocol summary; right panels","Summary data appears in ad hoc label grids with inconsistent hierarchy.","Compact key/value rows with status-aware values, copy-safe text, and stable wrapping.","S","Values must reflect existing runtime state only; no synthetic readiness or fake result values.","UI-D1c"
"HistoryList","P1","Common","Dashboard recent projects; LabTools preparation history; Bioinformatics logs; Meta draft history","History and recent-project surfaces are either sparse or visually indistinct from diagnostic text.","List primitive for recent/draft/history items with timestamp, status, source, and safe empty state.","M","Do not create fake history records or mark adapter-needed history as persisted.","UI-D1c"
"ResultPanel","P0","Common","Bioinformatics result/report; Meta result/report; LabTools calculator output","Result-like areas mix preflight summaries, draft outputs, and disabled report/export states.","Panel that clearly separates calculation output, preflight summary, draft report, empty result, and formal-result-disabled states.","M","No fake formal DEG, pooled effect, forest plot, report-ready package, or export success.","UI-D1c"
"WarningList","P0","Common","LabTools WB warnings; Bioinformatics blockers; Meta gate blockers; Settings missing resources","Warnings appear as paragraphs or table cells, making severity and next action hard to scan.","Stacked warning rows with severity, source, short reason, and optional safe action/copy affordance.","M","Warnings must remain blocking when current semantics are blocking.","UI-D1c"
"GateNotice","P0","Common","Bioinformatics report/export; Meta report/export; analysis task pages; disabled engine panels","Gate messages exist but do not consistently control adjacent buttons, leading to enabled-looking open-file controls under disabled export gates.","Gate panel/notice that owns disabled action reasons and keeps blocked formats visually tied to the gate.","M","Do not enable report/export, external engine execution, or formal analysis.","UI-D1c"
"FilePickerButton","P1","Common","LabTools file-picker export pilot; project folder selectors; Settings paths","File picker affordances are visually similar to formal export/report actions.","Button variant for choose/open local path with explicit local-file semantics and optional adapter-needed note.","S","Local picker does not mean report/export readiness or cloud sync.","UI-D1c"
"DisabledActionButton","P0","Common","Report/export formats; formal run buttons; planned settings actions","Disabled states are inconsistent and sometimes look like ordinary secondary buttons.","Disabled action primitive with reason tooltip/properties and clear visual affordance for blocked, planned, adapter-needed, and draft-only states.","S","Disabled action must remain non-clickable and must not perform file writes or executor calls.","UI-D1c"
"TwoColumnWorkbench","P0","Workbench","LabTools general calculator; Bioinformatics data source; Settings resource groups","Two-column pages are built manually and lose proportion when labels wrap or content grows.","Reusable two-column layout with stable left/right ratios, responsive collapse policy, and shared gutters.","M","Do not move capabilities between modules or activate hidden pages.","UI-D1d"
"ThreeColumnWorkbench","P0","Workbench","LabTools reagent; LabTools WB; Meta screening/extraction; Bioinformatics analysis tasks","Dense workbench pages compress or overflow because three functional regions are not modeled explicitly.","Left navigation/list, main task surface, and right summary/gate panel with stable min widths and scroll isolation.","L","Do not enable additional persistence, export, analysis, or engine calls.","UI-D1d"
"LeftListMiddleFormRightPreview","P0","Workbench","LabTools reagent templates; Meta extraction forms; Bioinformatics group/design previews","Runtime often places lists, forms, and previews in one scroll, causing first-viewport cropping.","Dedicated list/form/preview skeleton with independent vertical scroll and fixed preview/action regions.","L","Draft/template preview must not become saved record or formal analysis input unless adapter already exists.","UI-D1d"
"RightSummaryPanel","P0","Workbench","Bioinformatics project/readiness; Meta project/gate summaries; LabTools preparation/WB summaries","Right-side summaries are inconsistent or missing, so gate state competes with primary content.","Fixed-width summary panel for status chips, key blockers, next safe action, and compact diagnostics link.","M","Summary must reflect existing state only and must preserve disabled gate reasons.","UI-D1d"
"SplitterWorkbench","P1","Workbench","Meta full-text/detail review; Bioinformatics source/detail review; future report viewer","Pages that need resizable review/detail regions currently rely on static layouts.","Splitter-based workbench for source/detail or list/detail review with saved-safe defaults and minimum sizes.","L","Splitter state must not alter business records or reviewer decisions.","UI-D1d"
"DenseTablePanel","P0","Workbench","Bioinformatics analysis tasks; Bioinformatics readiness tables; Settings resource table; Meta reference queues","Dense tables dominate pages without local filters, summaries, or overflow rules.","Table panel with toolbar, filters/search placeholder, status chips, overflow containment, and empty state.","L","Filters/search placeholders must not imply remote execution or data fetch unless already implemented.","UI-D1d"
"PreviewCard","P1","Workbench","LabTools reagent preparation sheet; WB lane preview; Meta query/report previews; Bio result preview","Preview content is either raw text/table or visually similar to formal output.","Preview card that labels content as draft, preflight, shell-only, or adapter-needed and separates it from formal output.","M","Preview must not look like final report/result/gel/forest plot.","UI-D1d"
"LaneLayoutPreview","P0","Workbench","LabTools WB Loading","WB runtime is clipped and dense; lane preview competes with warnings and forms.","Compact lane schematic with sample labels, loading volume, warning markers, and no fake gel-band imagery.","L","No fake gel bands, band quantification, antibody recommendation, or image analysis execution.","UI-D1d"
"MatrixGrid96Well","P1","Workbench","LabTools BCA/OD future; cell experiment workspace future","Matrix/well layouts are not standardized and future pages risk ad hoc grids.","Fixed-size 96-well grid with row/column labels, selection states, legend, and data-entry-safe disabled states.","L","No ELISA/4PL/formal quantification activation before backend scope is approved.","UI-D1d"
"ReferenceQueuePanel","P0","Workbench","Meta screening; Meta import/dedup; full-text management","Reference queues are table-heavy and lack stable queue/detail/reason regions.","Queue panel with status lanes, selected reference summary, draft decision controls, and blocker/AI-advisory labeling.","L","AI suggestions stay advisory; draft decisions are not final inclusion counts.","UI-D1d"
"ExtractionFormTable","P0","Workbench","Meta full-text/extraction; quality assessment; future evidence tables","Extraction fields and table-like data entry need type-specific structure but runtime surfaces are compressed.","Schema-aware extraction table shell with section grouping, validation rows, and draft-only save affordance.","L","No automatic PDF extraction, final ROB judgment, pooled result, or report-ready input promotion.","UI-D1d"
"ReportViewerShell","P1","Future","Bioinformatics result/report; Meta result/report; future report preview","Current result/report pages mix status, preview, and export controls without a viewer contract.","Read-only report/draft viewer shell with section navigation, draft watermark/state, and disabled export gate integration.","L","No report generation, report-ready status, or export file writes.","UI-D1e"
"ExportGatePanel","P0","Future","Bioinformatics Report Export; Meta Report Export Gate; LabTools export pilot boundaries","Export gates show disabled formats, but some adjacent open-file/folder affordances can mislead.","Panel that binds readiness checks, disabled format buttons, report artifact presence, and open-file actions to one state model.","M","Do not enable DOCX/HTML/PDF/CSV/XLSX/ZIP export or report package generation.","UI-D1e"
"PlotPlaceholder","P1","Future","Bioinformatics result/report; Meta result/report; LabTools image-analysis futures","Plot areas risk looking like real analysis output if styled as finished charts.","Placeholder that explicitly marks chart/plot as unavailable, planned, draft, or testing summary only.","S","No fake forest plot, volcano plot, survival curve, gel band, or publication-bias chart.","UI-D1e"
"ExternalEngineStatusPanel","P1","Future","Settings external engines; LabTools image analysis; Bioinformatics/Meta analysis resources","Settings currently reads like a diagnostic inventory and does not separate engine status from ordinary settings.","Resource/engine panel with detect-only state, path/version, missing/configured badges, and user-confirmed setup actions later.","M","Detection does not install, update, delete, upload, enable cloud, or execute engines.","UI-D1e"
"SettingsResourceTable","P0","Future","Settings external resources; developer diagnostics","Resource rows dominate first viewport and lack user-oriented grouping.","Grouped resource table with ordinary settings first, diagnostics collapsed, and detect-only row semantics.","M","No automatic download/install/update/delete or cloud/API key enablement.","UI-D1e"
"ProjectRecentTable","P1","Future","Dashboard recent projects; project home summaries","Recent projects are lightweight and not governed by a table/list contract.","Compact recent-project table/list with project type, path, last opened, status, and safe open action.","M","Do not turn Dashboard into Project Center or create fake records.","UI-D1e"
"WizardFlowShell","P2","Future","Future onboarding; guided import; long LabTools workflows","Some future multi-step operations will need a constrained wizard rather than freeform dense workbench.","Wizard shell with step title, progress, validation summary, back/next actions, and cancel boundary.","L","No wizard step may bypass existing adapter, gate, or user confirmation requirements.","UI-D1e"
"ReviewConfirmationPanel","P1","Future","Meta screening; Meta extraction; Bioinformatics group/design; export gates","Review/confirmation states are currently scattered across notices and disabled buttons.","Panel for reviewer confirmation, draft/final distinction, blockers, and explicit safe action state.","M","Do not convert draft reviewer actions into final decisions or formal analysis readiness.","UI-D1e"
"AuditLogPanel","P2","Future","Developer diagnostics; project logs; export/report trace","Logs and diagnostics can leak into ordinary pages or dominate Settings.","Collapsible audit/log panel with copy/export diagnostics later, separated from ordinary user settings.","M","No packaging, LaunchServices, or report/export diagnostics are activated by this component inventory stage.","UI-D1e"
